STG Code,Amount,Percentage
1 No poverty,204403217,15.98
2 Zero hunger,60741069,4.75
3 Good health and well being,32727152,2.56
4 Quality education,67846040,5.30
5 Gender equality,1990179,.16
6 Clean water and sanitation,33146553,2.59
7 Affordable and clean energy,69324409,5.42
8 Decent work and economic growth,9306088,.73
"9 Industry, innovation and infrastructure",159349667,12.46
10 Reduced inequalities,3464754,.27
11 Sustainable cities and communities,240979018,18.84
12 Responsible consumption and production,94349,.01
13 Climate action,3798465,.30
14 Life below water,,
15 Life on land,16311980,1.28
"16 Peace, justice and strong institutions",367901980,28.76
17 Partnerships for the goals,7609935,.59
